patient_question,cleaned_text,keywords,distance_to_centroid
 I didn't get a perfect score I'm not smart enough.,get perfect score smart enough,"['score smart', 'perfect score', 'score', 'smart', 'perfect']",0.3118738
 My partner is unhappy it must be my fault.,partner unhappy must fault,"['partner unhappy', 'unhappy fault', 'unhappy', 'partner', 'fault']",0.49422255
 I got stuck in traffic I have bad luck.,got stuck traffic bad luck,"['stuck traffic', 'traffic bad', 'bad luck', 'got stuck', 'traffic']",0.28618306
 My script wasn't accepted I'm a bad writer.,script accepted bad writer,"['script accepted', 'bad writer', 'script', 'writer', 'accepted bad']",0.2639629
 I don't earn as much as my peers I'm a failure.,earn much peer failure,"['peer failure', 'earn peer', 'peer', 'failure', 'earn']",0.3755776
 I spilled my drink I'm always so clumsy.,spilled drink always clumsy,"['spilled drink', 'drink clumsy', 'spilled', 'clumsy', 'drink']",0.23185465
 I wasn't included in the group photo they don't want me around.,included group photo want around,"['group photo', 'included group', 'group', 'photo want', 'photo']",0.15523954
 I don't have a car I'm not successful.,car successful,"['car successful', 'car', 'successful']",0.2947352
 I couldn't solve the crossword puzzle I'm not clever.,solve crossword puzzle clever,"['crossword puzzle', 'solve crossword', 'puzzle clever', 'crossword', 'puzzle']",0.23277201
 I didn't hit my sales target I'm a bad salesperson.,hit sale target bad salesperson,"['bad salesperson', 'sale target', 'target bad', 'hit sale', 'salesperson']",0.2188183
 I can't play the guitar as well as my friend I'm talentless.,play guitar well friend talentless,"['play guitar', 'friend talentless', 'guitar friend', 'guitar', 'talentless']",0.3026996
 I wasn't chosen for the role I'm a bad actor.,chosen role bad actor,"['bad actor', 'chosen role', 'actor', 'role bad', 'chosen']",0.14643261
 I didn't get a return call after the interview they must have disliked me.,get return call interview must disliked,"['interview disliked', 'return interview', 'interview', 'disliked', 'return']",0.316412
 My joke wasn't appreciated I'm not funny.,joke appreciated funny,"['joke appreciated', 'appreciated funny', 'joke', 'funny', 'appreciated']",0.35630316
 I can't afford a vacation I'm a failure.,afford vacation failure,"['vacation failure', 'afford vacation', 'vacation', 'failure', 'afford']",0.27097124
 My boss didn't appreciate my work I'm not good at my job.,bos appreciate work good job,"['bos appreciate', 'bos', 'appreciate work', 'work good', 'good job']",0.25934544
 My neighbor didn't return my greeting they must hate me.,neighbor return greeting must hate,"['neighbor return', 'return greeting', 'neighbor', 'greeting hate', 'greeting']",0.3277172
 I didn't win the award my work is mediocre.,win award work mediocre,"['work mediocre', 'award work', 'mediocre', 'win award', 'award']",0.32693392
 I haven't been promoted my skills are not valued.,promoted skill valued,"['promoted skill', 'skill valued', 'promoted', 'skill', 'valued']",0.22707509
 I was late to the meeting everyone must think I'm irresponsible.,late meeting everyone must think irresponsible,"['late meeting', 'think irresponsible', 'irresponsible', 'meeting think', 'meeting']",0.453301
 My partner didn't notice my new haircut they don't care about me.,partner notice new haircut care,"['haircut care', 'new haircut', 'partner notice', 'haircut', 'partner']",0.2203007
 My story wasn't published I'm a bad writer.,story published bad writer,"['bad writer', 'published bad', 'story published', 'writer', 'published']",0.2565323
 I didn't reach my fitness goal I have no discipline.,reach fitness goal discipline,"['fitness goal', 'goal discipline', 'reach fitness', 'fitness', 'discipline']",0.17848583
 My idea was shot down people think I'm stupid.,idea shot people think stupid,"['idea shot', 'shot people', 'think stupid', 'shot', 'idea']",0.35324037
 I couldn't fix the leak I'm useless.,fix leak useless,"['fix leak', 'leak useless', 'leak', 'fix', 'useless']",0.15742049
 I didn't make it into the team I'm a poor player.,make team poor player,"['team poor', 'poor player', 'make team', 'poor', 'player']",0.29113835
 I lost my temper I'm a bad person.,lost temper bad person,"['lost temper', 'temper bad', 'temper', 'bad person', 'person']",0.48692286
 I couldn't meet the deadline I'm not efficient.,meet deadline efficient,"['deadline efficient', 'meet deadline', 'deadline', 'efficient', 'meet']",0.23939082
 I'm not as outgoing as my peers I'm boring.,outgoing peer boring,"['peer boring', 'outgoing peer', 'peer', 'outgoing', 'boring']",0.41005978
 I forgot the appointment I'm unreliable.,forgot appointment unreliable,"['appointment unreliable', 'forgot appointment', 'appointment', 'unreliable', 'forgot']",0.24763334
 I can't play the piano as well as my cousin I'm not talented.,play piano well cousin talented,"['piano cousin', 'cousin talented', 'play piano', 'piano', 'cousin']",0.28955057
 I didn't get a thank you note they must not have liked my gift.,get thank note must liked gift,"['liked gift', 'gift', 'note liked', 'note', 'liked']",0.30069524
 I don't have a date for the prom I'm unattractive.,date prom unattractive,"['prom unattractive', 'date prom', 'prom', 'unattractive', 'date']",0.28599507
 I didn't solve the problem I'm not smart enough.,solve problem smart enough,"['problem smart', 'solve problem', 'solve', 'smart', 'problem']",0.34973377
 My team didn't win I must be a bad leader.,team win must bad leader,"['bad leader', 'leader', 'win bad', 'team win', 'team']",0.32268345
 I was not selected for the scholarship I'm not worthy.,selected scholarship worthy,"['selected scholarship', 'scholarship worthy', 'scholarship', 'worthy', 'selected']",0.2071849
 My neighbor didn't wave back they must dislike me.,neighbor wave back must dislike,"['neighbor wave', 'wave dislike', 'wave', 'neighbor', 'dislike']",0.32260495
 I was not elected club president nobody respects me.,elected club president nobody respect,"['club president', 'president respect', 'elected club', 'respect', 'club']",0.17906922
 I wasn't picked first in gym class I must be a poor athlete.,picked first gym class must poor athlete,"['picked gym', 'gym class', 'poor athlete', 'gym', 'athlete']",0.2809633
 I got a lower grade than I expected I'm a failure.,got lower grade expected failure,"['expected failure', 'grade expected', 'failure', 'lower grade', 'grade']",0.43025607
 My colleague didn't consult me on the project they must think I'm incompetent.,colleague consult project must think incompetent,"['colleague consult', 'think incompetent', 'incompetent', 'colleague', 'consult project']",0.3012976
 I didn't get a callback for the audition I'm not talented.,get callback audition talented,"['callback audition', 'audition', 'audition talented', 'callback', 'talented']",0.20710388
 My house isn't as big as my friends' I'm not successful.,house big friend successful,"['house big', 'friend successful', 'house', 'big friend', 'successful']",0.4107718
 I didn't get a tip from the last customer I must have provided poor service.,get tip last customer must provided poor service,"['tip customer', 'tip', 'customer', 'poor service', 'customer provided']",0.21517119
 I couldn't answer the quiz question I'm not smart.,answer quiz question smart,"['answer quiz', 'quiz question', 'question smart', 'quiz', 'smart']",0.24292505
 My boss didn't praise my report it must be inadequate.,bos praise report must inadequate,"['praise report', 'bos praise', 'report inadequate', 'praise', 'report']",0.35963273
 I didn't receive a Christmas card from my cousin she must be mad at me.,receive christmas card cousin must mad,"['card cousin', 'christmas card', 'cousin mad', 'receive christmas', 'cousin']",0.30176854
 I don't have as many clothes as my peers I must be poor.,many clothes peer must poor,"['clothes peer', 'peer poor', 'clothes', 'peer', 'poor']",0.33625668
 I wasn't asked to the dance I'm not attractive.,asked dance attractive,"['dance attractive', 'asked dance', 'dance', 'attractive', 'asked']",0.2641192
 My date didn't offer to pay they must not like me.,date offer pay must like,"['date offer', 'offer pay', 'pay like', 'date', 'pay']",0.17488167
 I wasn't chosen for the internship I must be unqualified.,chosen internship must unqualified,"['internship unqualified', 'chosen internship', 'internship', 'unqualified', 'chosen']",0.19673145
 I didn't win the lottery I'm always unlucky.,win lottery always unlucky,"['lottery unlucky', 'win lottery', 'lottery', 'unlucky', 'win']",0.2392397
 My dog prefers my spouse he must not love me.,dog prefers spouse must love,"['prefers spouse', 'dog prefers', 'spouse love', 'spouse', 'prefers']",0.29308888
 I can't do yoga as well as others I'm inflexible and unfit.,yoga well others inflexible unfit,"['yoga inflexible', 'yoga', 'inflexible unfit', 'inflexible', 'unfit']",0.265748
 My research wasn't published it must not be good enough.,research published must good enough,"['research published', 'published good', 'research', 'published', 'good']",0.308649
 I don't have a university degree I'm not successful.,university degree successful,"['degree successful', 'university degree', 'degree', 'university', 'successful']",0.1708898
 I didn't get the job I'm not talented.,get job talented,"['job talented', 'talented', 'job']",0.31845415
 I'm not a homeowner I'm not as successful as others.,homeowner successful others,"['homeowner successful', 'homeowner', 'successful']",0.23754704
 I don't have designer clothes I'm not fashionable.,designer clothes fashionable,"['designer clothes', 'clothes fashionable', 'fashionable', 'designer', 'clothes']",0.11316329
 My paper wasn't chosen for the conference my work must be substandard.,paper chosen conference work must substandard,"['conference work', 'chosen conference', 'paper chosen', 'conference', 'work substandard']",0.18233837
 My teacher didn't pick me for the role I must be a bad actor.,teacher pick role must bad actor,"['teacher pick', 'pick role', 'bad actor', 'teacher', 'role bad']",0.24561864
 I wasn't included in the family photo they must not want me around.,included family photo must want around,"['family photo', 'included family', 'photo want', 'family', 'photo']",0.25072682
 I didn't receive a bonus my work isn't appreciated.,receive bonus work appreciated,"['receive bonus', 'bonus work', 'work appreciated', 'bonus', 'receive']",0.1667498
 My son didn't invite me to his school play he must be ashamed of me.,son invite school play must ashamed,"['play ashamed', 'school play', 'invite school', 'son invite', 'play']",0.38086832
 I can't afford a new car I'm a failure.,afford new car failure,"['car failure', 'afford new', 'new car', 'afford', 'car']",0.21516402
 I'm not as tall as my brother I must be less attractive.,tall brother must less attractive,"['tall brother', 'brother attractive', 'tall', 'attractive', 'brother']",0.27228713
 I didn't get a response to my email they must not respect me.,get response email must respect,"['response email', 'email respect', 'response', 'email', 'respect']",0.19174479
 I'm not married by this age I'll end up alone.,married age end alone,"['married age', 'age end', 'married', 'age', 'end']",0.34087437
 My co-worker didn't thank me for my help they must not appreciate me.,worker thank help must appreciate,"['worker thank', 'worker', 'help appreciate', 'thank help', 'appreciate']",0.22152793
 I wasn't chosen for the scholarship I must not be smart enough.,chosen scholarship must smart enough,"['scholarship smart', 'chosen scholarship', 'scholarship', 'smart', 'chosen']",0.28862417
 My joke didn't get any laughs I must not be funny.,joke get laugh must funny,"['joke laugh', 'laugh funny', 'joke', 'laugh', 'funny']",0.37008697
 I wasn't asked to the dance I must be unattractive.,asked dance must unattractive,"['dance unattractive', 'asked dance', 'dance', 'unattractive', 'asked']",0.35283783
 I didn't get the job I must be unqualified.,get job must unqualified,"['job unqualified', 'unqualified', 'job']",0.28894442
 I don't have a boyfriend I must not be desirable.,boyfriend must desirable,"['boyfriend desirable', 'desirable', 'boyfriend']",0.30977315
 My date didn't kiss me goodnight they must not be interested in me.,date kiss goodnight must interested,"['kiss goodnight', 'goodnight interested', 'date kiss', 'goodnight', 'date']",0.3093366
 I didn't get a reply to my message they must not care about me.,get reply message must care,"['reply message', 'message care', 'message', 'reply', 'care']",0.33757174
 I can't afford the latest phone I'm a failure.,afford latest phone failure,"['phone failure', 'afford latest', 'latest phone', 'afford', 'failure']",0.25263342
 I was not selected for the lead role in the play I'm not a good actor.,selected lead role play good actor,"['lead role', 'good actor', 'actor', 'role play', 'role']",0.20586249
 I wasn't asked to speak at the event my opinion must not matter.,asked speak event opinion must matter,"['event opinion', 'speak event', 'opinion matter', 'asked speak', 'speak']",0.35257137
 I can't do a pull-up I'm weak.,pull weak,"['pull weak', 'pull', 'weak']",0.34015125
 My poem wasn't published I must be a bad writer.,poem published must bad writer,"['poem published', 'bad writer', 'poem', 'published bad', 'writer']",0.3361276
 I wasn't elected class president I must be unpopular.,elected class president must unpopular,"['president unpopular', 'class president', 'elected class', 'unpopular', 'president']",0.20663753
 I didn't get a response to my proposal my idea must be bad.,get response proposal idea must bad,"['response proposal', 'proposal idea', 'proposal', 'response', 'idea bad']",0.30067298
 I wasn't included in the group chat they must not want to talk to me.,included group chat must want talk,"['group chat', 'chat want', 'want talk', 'included group', 'chat']",0.32813346
 I didn't finish the race I must be out of shape.,finish race must shape,"['race shape', 'finish race', 'race', 'shape', 'finish']",0.16131002
 I don't earn as much as my friends I'm not successful.,earn much friend successful,"['earn friend', 'friend successful', 'successful', 'earn', 'friend']",0.36976138
 My friend didn't return my book they must not respect me.,friend return book must respect,"['return book', 'book respect', 'friend return', 'book', 'return']",0.39495152
 I don't have a pet I must be lonely.,pet must lonely,"['pet lonely', 'pet', 'lonely']",0.36044705
 My colleague didn't share their notes with me they must not trust me.,colleague share note must trust,"['note trust', 'share note', 'colleague share', 'trust', 'colleague']",0.32817984
 I didn't pass the exam I must be stupid.,pas exam must stupid,"['pas exam', 'exam stupid', 'pas', 'exam', 'stupid']",0.2947296
 I wasn't picked for the basketball team I must not be good enough.,picked basketball team must good enough,"['picked basketball', 'basketball team', 'picked', 'basketball', 'team good']",0.16359517
 I didn't get the internship I must not be capable.,get internship must capable,"['internship capable', 'internship', 'capable']",0.22657368
 I didn't get the scholarship I must not be deserving.,get scholarship must deserving,"['scholarship deserving', 'scholarship', 'deserving']",0.23641816
 My date didn't compliment my outfit they must not think I'm attractive.,date compliment outfit must think attractive,"['date compliment', 'compliment outfit', 'compliment', 'think attractive', 'outfit think']",0.26682886
 My friend didn't share their secret with me they must not trust me.,friend share secret must trust,"['share secret', 'secret trust', 'friend share', 'trust', 'secret']",0.38739026
 I didn't get a perfect score on the test I'm not smart enough.,get perfect score test smart enough,"['perfect score', 'score test', 'test smart', 'score', 'test']",0.30920416
 My presentation didn't receive applause it must have been boring.,presentation receive applause must boring,"['applause boring', 'receive applause', 'applause', 'presentation receive', 'presentation']",0.31257844
 I can't afford a designer dress I'm not successful.,afford designer dress successful,"['afford designer', 'dress successful', 'designer dress', 'dress', 'designer']",0.1886302
 I wasn't selected for the debate team I must not be convincing.,selected debate team must convincing,"['debate team', 'selected debate', 'debate', 'team convincing', 'convincing']",0.23520188
 My teacher didn't commend my essay I must be a bad writer.,teacher commend essay must bad writer,"['essay bad', 'commend essay', 'essay', 'bad writer', 'teacher commend']",0.34373075
 I don't have a six-figure salary I must be unsuccessful.,six figure salary must unsuccessful,"['salary unsuccessful', 'figure salary', 'salary', 'unsuccessful', 'figure']",0.16099492
 I can't run a marathon I'm not fit.,run marathon fit,"['marathon fit', 'run marathon', 'marathon', 'run', 'fit']",0.06419048
 I wasn't acknowledged for my contribution they must not appreciate me.,acknowledged contribution must appreciate,"['acknowledged contribution', 'contribution appreciate', 'contribution', 'acknowledged', 'appreciate']",0.30340487
 I didn't get an A+ in math I must not be intelligent.,get math must intelligent,"['math intelligent', 'math', 'intelligent']",0.33850917
 I'm not the top of my class I must not be smart enough.,top class must smart enough,"['class smart', 'smart', 'class']",0.3591325
 My boyfriend didn't propose yet he must not love me.,boyfriend propose yet must love,"['boyfriend propose', 'propose love', 'propose', 'boyfriend', 'love']",0.27085394
 I didn't get accepted into my first choice college I'm not good enough.,get accepted first choice college good enough,"['choice college', 'college good', 'college', 'accepted choice', 'choice']",0.18456168
 I don't have a master's degree I must not be educated.,master degree must educated,"['degree educated', 'master degree', 'educated', 'degree', 'master']",0.21029322
 My poem didn't win the contest I must be a bad poet.,poem win contest must bad poet,"['poem win', 'bad poet', 'poet', 'contest bad', 'poem']",0.29957804
 I didn't sell any of my crafts at the fair my work must be unappealing.,sell craft fair work must unappealing,"['craft fair', 'sell craft', 'craft', 'work unappealing', 'sell']",0.21860021
 My colleague didn't accept my friend request they must not like me.,colleague accept friend request must like,"['colleague accept', 'accept friend', 'friend request', 'request like', 'colleague']",0.30513704
 I can't solve the Rubik's cube I'm not intelligent.,solve rubik cube intelligent,"['rubik cube', 'solve rubik', 'cube intelligent', 'rubik', 'cube']",0.094158515
 I wasn't picked for the lead role in the dance recital I must not be a good dancer.,picked lead role dance recital must good dancer,"['role dance', 'dance recital', 'good dancer', 'dancer', 'recital good']",0.25135052
 I don't have a new smartphone I must be outdated.,new smartphone must outdated,"['smartphone outdated', 'new smartphone', 'smartphone', 'outdated', 'new']",0.09963145
 My recipe didn't win the cooking competition I must be a poor cook.,recipe win cooking competition must poor cook,"['cooking competition', 'win cooking', 'recipe win', 'poor cook', 'cook']",0.24489865
 I'm not a straight-A student I'm not intelligent.,straight student intelligent,"['straight student', 'student intelligent', 'straight', 'student', 'intelligent']",0.33433598
 I don't have as many books as my friend I must not be well-read.,many book friend must well read,"['book friend', 'friend read', 'book', 'read', 'friend']",0.37057558
