patient_question,cleaned_text,keywords,distance_to_centroid
 I can't cook as well as my dad I must be a bad cook.,cook well dad must bad cook,"['cook dad', 'bad cook', 'cook', 'dad bad', 'dad']",0.3983554
 I wasn't invited to the reunion they must not want me there.,invited reunion must want,"['invited reunion', 'reunion want', 'reunion', 'invited', 'want']",0.578038
 I can't paint as beautifully as my sister I must not be artistic.,paint beautifully sister must artistic,"['sister artistic', 'paint beautifully', 'paint', 'beautifully sister', 'artistic']",0.45652094
 I wasn't invited to the team dinner they must not enjoy my company.,invited team dinner must enjoy company,"['team dinner', 'dinner enjoy', 'dinner', 'invited team', 'enjoy company']",0.70777667
 My friend didn't choose me as their best man they must not value our friendship.,friend choose best man must value friendship,"['value friendship', 'friend choose', 'choose best', 'friendship', 'man value']",0.46208364
 My boss didn't invite me to the meeting they must think I'm not necessary.,bos invite meeting must think necessary,"['invite meeting', 'bos invite', 'meeting', 'meeting think', 'bos']",0.5769323
 I can't bake as well as my grandmother I must not be a good baker.,bake well grandmother must good baker,"['bake grandmother', 'good baker', 'bake', 'grandmother good', 'baker']",0.43121856
 I can't cook as well as my friend I must not be a good cook.,cook well friend must good cook,"['cook friend', 'good cook', 'cook', 'friend good', 'friend']",0.63892406
 I can't make a souffl茅 like my mom I must not be a good cook.,make souffl like mom must good cook,"['make souffl', 'souffl like', 'souffl', 'cook', 'mom good']",0.34022415
 I don't get invited to as many parties as my friends I must not be fun.,get invited many party friend must fun,"['party friend', 'invited party', 'party', 'friend fun', 'fun']",0.6526192
 I wasn't asked to be a bridesmaid my friend must not value our relationship.,asked bridesmaid friend must value relationship,"['bridesmaid friend', 'asked bridesmaid', 'bridesmaid', 'friend value', 'relationship']",0.57085323
 I can't draw as well as my art teacher I must not be talented.,draw well art teacher must talented,"['art teacher', 'draw art', 'teacher talented', 'draw', 'art']",0.44260544
 My friend didn't invite me to their party they must not want me there.,friend invite party must want,"['invite party', 'friend invite', 'party want', 'party', 'invite']",0.7626053
 I can't decorate cakes as nicely as my friend I must not be artistic.,decorate cake nicely friend must artistic,"['decorate cake', 'friend artistic', 'cake nicely', 'decorate', 'cake']",0.63746834
 I can't cook gourmet meals like my mom I must not be a good cook.,cook gourmet meal like mom must good cook,"['cook gourmet', 'gourmet meal', 'cook', 'gourmet', 'meal like']",0.48206186
 My friend didn't invite me to their wedding they must not value our friendship.,friend invite wedding must value friendship,"['invite wedding', 'value friendship', 'wedding', 'wedding value', 'friendship']",0.7161454
 I didn't win the art competition my art must not be good.,win art competition art must good,"['competition art', 'art competition', 'win art', 'art good', 'competition']",0.42647415
 My roommate didn't ask me to join their game night they must not enjoy my company.,roommate ask join game night must enjoy company,"['roommate ask', 'roommate', 'join game', 'game night', 'ask join']",0.5374162
 My friend didn't invite me on their road trip they must not want to spend time with me.,friend invite road trip must want spend time,"['invite road', 'road trip', 'trip want', 'trip', 'friend invite']",0.6560137
 I can't bake bread as well as my baker friend I must not be a good baker.,bake bread well baker friend must good baker,"['bread baker', 'good baker', 'bake bread', 'baker friend', 'baker']",0.5332848
 I can't make origami figures like my cousin I must not be crafty.,make origami figure like cousin must crafty,"['origami figure', 'make origami', 'origami', 'cousin crafty', 'crafty']",0.29165643
 My boss didn't invite me to the meeting they must not think I'm important.,bos invite meeting must think important,"['invite meeting', 'bos invite', 'meeting think', 'meeting', 'bos']",0.58392555
 I can't cook Indian food as well as my friend I must not be a good cook.,cook indian food well friend must good cook,"['cook indian', 'indian food', 'cook', 'good cook', 'food friend']",0.52857345
 My best friend didn't choose me as her maid of honor she must not value our friendship.,best friend choose maid honor must value friendship,"['maid honor', 'value friendship', 'choose maid', 'best friend', 'maid']",0.58402246
 I can't bake cookies as well as my neighbor I must not be a good baker.,bake cooky well neighbor must good baker,"['cooky neighbor', 'good baker', 'bake cooky', 'bake', 'baker']",0.53100747
 My coworker didn't invite me to their lunch outing they must not like me.,coworker invite lunch outing must like,"['lunch outing', 'invite lunch', 'coworker invite', 'lunch', 'outing']",0.69728696
 I can't draw as well as my art teacher I must lack creativity.,draw well art teacher must lack creativity,"['art teacher', 'draw art', 'lack creativity', 'creativity', 'teacher lack']",0.4194692
 My partner didn't want to watch a movie with me they must not enjoy my company.,partner want watch movie must enjoy company,"['movie enjoy', 'partner want', 'partner', 'watch movie', 'want watch']",0.45337245
 My coworker didn't invite me to their party they must not like me.,coworker invite party must like,"['coworker invite', 'invite party', 'party', 'party like', 'coworker']",0.7191346
 I didn't receive an invitation to the exclusive seminar they must not value my contributions.,receive invitation exclusive seminar must value contribution,"['seminar value', 'exclusive seminar', 'seminar', 'receive invitation', 'invitation exclusive']",0.4543584
 My coworker didn't ask me to join for lunch they must not enjoy my company.,coworker ask join lunch must enjoy company,"['join lunch', 'lunch enjoy', 'lunch', 'ask join', 'coworker ask']",0.59095347
 I can't make homemade pasta like my Italian friend I must not be a good cook.,make homemade pasta like italian friend must good cook,"['homemade pasta', 'pasta like', 'pasta', 'italian friend', 'italian']",0.44290182
 I wasn't invited to the office retreat they must not enjoy my company.,invited office retreat must enjoy company,"['office retreat', 'retreat enjoy', 'invited office', 'retreat', 'office']",0.4788714
 My friend didn't invite me to their weekend trip they must not enjoy my company.,friend invite weekend trip must enjoy company,"['weekend trip', 'invite weekend', 'weekend', 'trip enjoy', 'trip']",0.6836053
 I can't decorate cakes like my baker friend I must not be artistic.,decorate cake like baker friend must artistic,"['decorate cake', 'cake like', 'friend artistic', 'cake', 'baker friend']",0.59993917
 I can't cook as well as my chef friend I must not have culinary skills.,cook well chef friend must culinary skill,"['friend culinary', 'cook chef', 'chef friend', 'culinary skill', 'chef']",0.62221617
 I can't make origami like my crafty friend I must not be creative.,make origami like crafty friend must creative,"['make origami', 'origami like', 'origami', 'friend creative', 'crafty friend']",0.43895072
 My friends didn't ask me to join the game night they must not enjoy my company.,friend ask join game night must enjoy company,"['join game', 'ask join', 'game night', 'night enjoy', 'join']",0.5719609
 I can't make handmade jewelry like my artisan friend I must not be skilled.,make handmade jewelry like artisan friend must skilled,"['handmade jewelry', 'jewelry like', 'jewelry', 'make handmade', 'artisan friend']",0.40912285
 I can't paint as well as my artist friend I must not be artistic.,paint well artist friend must artistic,"['friend artistic', 'paint artist', 'paint', 'artist friend', 'artistic']",0.5866905
 I can't make crafts as well as my DIY friend I must not be creative.,make craft well diy friend must creative,"['craft diy', 'make craft', 'friend creative', 'craft', 'creative']",0.6264907
 I can't cook as well as my chef brother I must not have good culinary skills.,cook well chef brother must good culinary skill,"['chef brother', 'cook chef', 'culinary skill', 'chef', 'good culinary']",0.5159172
 I didn't win the photography contest my photos must not be good enough.,win photography contest photo must good enough,"['photography contest', 'contest photo', 'win photography', 'contest', 'photo good']",0.40248168
 I can't create sculptures like my artist friend I must not be talented.,create sculpture like artist friend must talented,"['create sculpture', 'sculpture like', 'sculpture', 'friend talented', 'artist friend']",0.5043067
 I can't bake bread like my baker friend I must not be good at baking.,bake bread like baker friend must good baking,"['bake bread', 'baking', 'good baking', 'bread like', 'baker friend']",0.49889284
 I can't prepare sushi like my Japanese friend I must not be a skilled cook.,prepare sushi like japanese friend must skilled cook,"['prepare sushi', 'sushi', 'sushi like', 'japanese friend', 'japanese']",0.38554937
 My colleagues didn't invite me to the team dinner they must not like me.,colleague invite team dinner must like,"['colleague invite', 'team dinner', 'dinner like', 'dinner', 'invite team']",0.7466128
 I can't create digital art like my graphic designer friend I must not be creative.,create digital art like graphic designer friend must creative,"['digital art', 'friend creative', 'graphic designer', 'designer friend', 'create digital']",0.4445231
 My spouse didn't invite me to the work party they must not want me there.,spouse invite work party must want,"['spouse invite', 'work party', 'spouse', 'party want', 'invite work']",0.64817
 I can't make pottery like my artist friend I must lack artistic talent.,make pottery like artist friend must lack artistic talent,"['make pottery', 'pottery like', 'pottery', 'artistic talent', 'lack artistic']",0.5350852
 I can't prepare French cuisine as well as my chef friend I must not be good at cooking.,prepare french cuisine well chef friend must good cooking,"['french cuisine', 'cuisine chef', 'chef friend', 'cuisine', 'prepare french']",0.5618033
 My colleagues didn't include me in the lunch invite they must not enjoy my company.,colleague include lunch invite must enjoy company,"['lunch invite', 'include lunch', 'colleague include', 'lunch', 'colleague']",0.6981615
 I can't decorate cakes like my pastry chef friend I must not be creative.,decorate cake like pastry chef friend must creative,"['decorate cake', 'pastry chef', 'pastry', 'like pastry', 'friend creative']",0.62262005
 My friend didn't invite me to their party they must not enjoy my presence.,friend invite party must enjoy presence,"['enjoy presence', 'invite party', 'party enjoy', 'presence', 'party']",0.69197875
 I can't draw anime characters like my artist friend I must lack artistic talent.,draw anime character like artist friend must lack artistic talent,"['draw anime', 'anime character', 'artistic talent', 'lack artistic', 'artist friend']",0.42519552
 I can't make macarons like my patissier friend I must not have the baking skills.,make macarons like patissier friend must baking skill,"['make macarons', 'macarons like', 'macarons', 'friend baking', 'baking skill']",0.41240245
 My spouse didn't make dinner tonight they must not love me.,spouse make dinner tonight must love,"['dinner tonight', 'make dinner', 'dinner', 'spouse make', 'tonight love']",0.49264076
 I can't grill steaks as well as my grillmaster friend I must not be good at barbecuing.,grill steak well grillmaster friend must good barbecuing,"['good barbecuing', 'steak grillmaster', 'grillmaster friend', 'grill steak', 'barbecuing']",0.52057475
 My colleagues didn't invite me to the weekend outing they must not want me around.,colleague invite weekend outing must want around,"['colleague invite', 'weekend outing', 'invite weekend', 'outing', 'outing want']",0.67108643
 I can't sculpt clay like my artist friend I must lack artistic ability.,sculpt clay like artist friend must lack artistic ability,"['sculpt clay', 'sculpt', 'clay like', 'artistic ability', 'lack artistic']",0.4166155
 My classmates didn't invite me to their graduation party they must not like me.,classmate invite graduation party must like,"['graduation party', 'classmate invite', 'invite graduation', 'party like', 'classmate']",0.6636734
 My friends didn't invite me to their movie night they must not enjoy my company.,friend invite movie night must enjoy company,"['invite movie', 'movie night', 'friend invite', 'night enjoy', 'enjoy company']",0.68335676
 I don't have as many cooking gadgets as my chef friend I must not be a real foodie.,many cooking gadget chef friend must real foodie,"['gadget chef', 'chef friend', 'cooking gadget', 'chef', 'real foodie']",0.541876
From Canada: I got married a month ago and since the wedding I keep thinking about the things that I didn鈥檛 plan properly Biggest one being the guest list for the wedding I decided not to invite some people because my fiance was only inviting his close friends but we had a huge wedding and enough room to fit more people especially since some guests didn鈥檛 even show up I think I was also pressed for time and just didn鈥檛 bother inviting some people out of being lazy and wanting to cut down on my workload,got married month ago since wedding keep thinking thing plan properly biggest one guest list wedding decided invite people fiance inviting close friend huge wedding enough room fit people especially since guest even show think also pressed time bother inviting people lazy wanting cut workload,"['wedding room', 'list wedding', 'wedding', 'wedding decided', 'inviting people']",0.5880717
"From Canada: I got married a month ago and since the wedding, I keep thinking about the things that I didn鈥檛 plan properly. Biggest one being the guest list for the wedding. I decided not to invite some people because my fiance was only inviting his close friends but we had a huge wedding and enough room to fit more people especially since some guests didn鈥檛 even show up. I think I was also pressed for time and just didn鈥檛 bother inviting some people out of being lazy and wanting to cut down on my workload.",got married month ago since wedding keep thinking thing plan properly biggest one guest list wedding decided invite people fiance inviting close friend huge wedding enough room fit people especially since guest even show think also pressed time bother inviting people lazy wanting cut workload,"['wedding room', 'list wedding', 'wedding', 'wedding decided', 'inviting people']",0.5880717
